
Predictions were generated on 24-Oct-2019 at 16:50:56 using OpenFAST, compiled as a 64-bit application using single precision at commit v2.1.0-184-g4231be2e-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; SubDyn

Description from the FAST input file: MonopileOnly

Time      	TwrBsFxt  	TwrBsFyt  	TwrBsFzt  	TwrBsMxt  	TwrBsMyt  	TwrBsMzt  	PtfmSurge 	PtfmSway  	PtfmHeave 	PtfmRoll  	PtfmPitch 	PtfmYaw   	M1N1FKXe  	M1N1FKYe  	M1N1FKZe  	M1N1MKXe  	M1N1MKYe  	M1N1MKZe  	M2N1FKXe  	M2N1FKYe  	M2N1FKZe  	M2N1MKXe  	M2N1MKYe  	M2N1MKZe  	-ReactFXss	-ReactFYss	-ReactFZss	-ReactMXss	-ReactMYss	-ReactMZss
(s)       	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(m)       	(m)       	(m)       	(deg)     	(deg)     	(deg)     	(N)       	(N)       	(N)       	(N*m)     	(N*m)     	(N*m)     	(N)       	(N)       	(N)       	(N*m)     	(N*m)     	(N*m)     	(N)       	(N)       	(N)       	(Nm)      	(Nm)      	(Nm)      
    0.0000	-5.047E-07	-0.000E+00	 2.823E-08	 0.000E+00	-3.101E-07	 0.000E+00	 1.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 7.887E-01	 0.000E+00	 6.983E+06	-0.000E+00	-2.068E+05	-0.000E+00	 6.065E+08	-0.000E+00	 6.992E+06	-0.000E+00	-2.068E+05	-0.000E+00	 2.572E+08	-0.000E+00	 6.983E+06	-0.000E+00	-2.068E+05	-0.000E+00	-9.178E+07	-0.000E+00
    0.0100	 5.913E-07	-0.000E+00	 2.980E-09	 0.000E+00	 3.474E-07	 0.000E+00	 1.001E+00	 0.000E+00	-7.050E-04	 0.000E+00	 8.114E-01	 0.000E+00	 7.701E+06	-0.000E+00	-1.872E+06	-0.000E+00	 6.176E+08	-0.000E+00	 6.462E+06	-0.000E+00	-1.872E+06	-0.000E+00	 2.495E+08	-0.000E+00	 7.701E+06	-0.000E+00	-1.872E+06	-0.000E+00	-1.525E+08	-0.000E+00
    0.0200	 7.433E-07	-0.000E+00	-1.260E-07	 0.000E+00	 4.199E-07	 0.000E+00	 9.970E-01	 0.000E+00	-2.247E-03	 0.000E+00	 8.148E-01	 0.000E+00	 8.172E+06	-0.000E+00	-5.513E+06	-0.000E+00	 6.244E+08	-0.000E+00	 6.236E+06	-0.000E+00	-5.513E+06	-0.000E+00	 2.422E+08	-0.000E+00	 8.172E+06	-0.000E+00	-5.513E+06	-0.000E+00	-1.928E+08	-0.000E+00
    0.0300	 2.703E-07	-0.000E+00	-2.378E-07	 0.000E+00	 1.191E-07	 0.000E+00	 9.864E-01	 0.000E+00	-3.359E-03	 0.000E+00	 7.908E-01	 0.000E+00	 8.214E+06	-0.000E+00	-8.140E+06	-0.000E+00	 6.241E+08	-0.000E+00	 6.494E+06	-0.000E+00	-8.140E+06	-0.000E+00	 2.369E+08	-0.000E+00	 8.214E+06	-0.000E+00	-8.140E+06	-0.000E+00	-1.974E+08	-0.000E+00
    0.0400	 1.744E-07	-0.000E+00	-2.243E-07	 0.000E+00	 6.438E-08	 0.000E+00	 9.733E-01	 0.000E+00	-3.175E-03	 0.000E+00	 7.702E-01	 0.000E+00	 8.559E+06	-0.000E+00	-7.706E+06	-0.000E+00	 6.279E+08	-0.000E+00	 6.574E+06	-0.000E+00	-7.706E+06	-0.000E+00	 2.270E+08	-0.000E+00	 8.559E+06	-0.000E+00	-7.706E+06	-0.000E+00	-2.280E+08	-0.000E+00
    0.0500	 3.035E-07	-0.000E+00	-1.066E-07	 0.000E+00	 1.602E-07	 0.000E+00	 9.583E-01	 0.000E+00	-1.873E-03	 0.000E+00	 7.558E-01	 0.000E+00	 9.169E+06	-0.000E+00	-4.629E+06	-0.000E+00	 6.349E+08	-0.000E+00	 6.467E+06	-0.000E+00	-4.629E+06	-0.000E+00	 2.136E+08	-0.000E+00	 9.169E+06	-0.000E+00	-4.629E+06	-0.000E+00	-2.820E+08	-0.000E+00
    0.0600	 2.725E-07	-0.000E+00	 1.126E-08	 0.000E+00	 1.595E-07	 0.000E+00	 9.405E-01	 0.000E+00	-5.069E-04	 0.000E+00	 7.364E-01	 0.000E+00	 9.664E+06	-0.000E+00	-1.404E+06	-0.000E+00	 6.387E+08	-0.000E+00	 6.395E+06	-0.000E+00	-1.404E+06	-0.000E+00	 2.004E+08	-0.000E+00	 9.664E+06	-0.000E+00	-1.404E+06	-0.000E+00	-3.277E+08	-0.000E+00
    0.0700	 1.676E-07	-0.000E+00	 3.876E-08	 0.000E+00	 1.010E-07	 0.000E+00	 9.201E-01	 0.000E+00	-1.567E-04	 0.000E+00	 7.131E-01	 0.000E+00	 9.992E+06	-0.000E+00	-5.769E+05	-0.000E+00	 6.381E+08	-0.000E+00	 6.355E+06	-0.000E+00	-5.769E+05	-0.000E+00	 1.884E+08	-0.000E+00	 9.992E+06	-0.000E+00	-5.769E+05	-0.000E+00	-3.610E+08	-0.000E+00
    0.0800	 1.397E-07	-0.000E+00	-4.126E-08	 0.000E+00	 7.316E-08	 0.000E+00	 8.980E-01	 0.000E+00	-1.073E-03	 0.000E+00	 6.912E-01	 0.000E+00	 1.022E+07	-0.000E+00	-2.741E+06	-0.000E+00	 6.341E+08	-0.000E+00	 6.261E+06	-0.000E+00	-2.741E+06	-0.000E+00	 1.773E+08	-0.000E+00	 1.022E+07	-0.000E+00	-2.741E+06	-0.000E+00	-3.881E+08	-0.000E+00
    0.0900	 1.508E-07	-0.000E+00	-1.647E-07	 0.000E+00	 6.229E-08	 0.000E+00	 8.746E-01	 0.000E+00	-2.501E-03	 0.000E+00	 6.713E-01	 0.000E+00	 1.030E+07	-0.000E+00	-6.114E+06	-0.000E+00	 6.255E+08	-0.000E+00	 6.095E+06	-0.000E+00	-6.114E+06	-0.000E+00	 1.679E+08	-0.000E+00	 1.030E+07	-0.000E+00	-6.114E+06	-0.000E+00	-4.048E+08	-0.000E+00
    0.1000	 1.446E-07	-0.000E+00	-2.343E-07	 0.000E+00	 4.859E-08	 0.000E+00	 8.497E-01	 0.000E+00	-3.302E-03	 0.000E+00	 6.518E-01	 0.000E+00	 1.017E+07	-0.000E+00	-8.006E+06	-0.000E+00	 6.112E+08	-0.000E+00	 5.930E+06	-0.000E+00	-8.006E+06	-0.000E+00	 1.611E+08	-0.000E+00	 1.017E+07	-0.000E+00	-8.006E+06	-0.000E+00	-4.055E+08	-0.000E+00
    0.1100	 1.377E-07	-0.000E+00	-1.962E-07	 0.000E+00	 5.001E-08	 0.000E+00	 8.234E-01	 0.000E+00	-2.860E-03	 0.000E+00	 6.327E-01	 0.000E+00	 9.814E+06	-0.000E+00	-6.961E+06	-0.000E+00	 5.912E+08	-0.000E+00	 5.721E+06	-0.000E+00	-6.961E+06	-0.000E+00	 1.567E+08	-0.000E+00	 9.814E+06	-0.000E+00	-6.961E+06	-0.000E+00	-3.902E+08	-0.000E+00
    0.1200	 1.499E-07	-0.000E+00	-8.267E-08	 0.000E+00	 7.372E-08	 0.000E+00	 7.958E-01	 0.000E+00	-1.554E-03	 0.000E+00	 6.144E-01	 0.000E+00	 9.281E+06	-0.000E+00	-3.877E+06	-0.000E+00	 5.663E+08	-0.000E+00	 5.491E+06	-0.000E+00	-3.877E+06	-0.000E+00	 1.543E+08	-0.000E+00	 9.281E+06	-0.000E+00	-3.877E+06	-0.000E+00	-3.618E+08	-0.000E+00
    0.1300	 1.719E-07	-0.000E+00	 1.474E-08	 0.000E+00	 1.008E-07	 0.000E+00	 7.667E-01	 0.000E+00	-4.365E-04	 0.000E+00	 5.964E-01	 0.000E+00	 8.601E+06	-0.000E+00	-1.238E+06	-0.000E+00	 5.372E+08	-0.000E+00	 5.220E+06	-0.000E+00	-1.238E+06	-0.000E+00	 1.535E+08	-0.000E+00	 8.601E+06	-0.000E+00	-1.238E+06	-0.000E+00	-3.229E+08	-0.000E+00
    0.1400	 1.939E-07	-0.000E+00	 1.968E-08	 0.000E+00	 1.145E-07	 0.000E+00	 7.360E-01	 0.000E+00	-3.835E-04	 0.000E+00	 5.777E-01	 0.000E+00	 7.812E+06	-0.000E+00	-1.113E+06	-0.000E+00	 5.049E+08	-0.000E+00	 4.948E+06	-0.000E+00	-1.113E+06	-0.000E+00	 1.536E+08	-0.000E+00	 7.812E+06	-0.000E+00	-1.113E+06	-0.000E+00	-2.763E+08	-0.000E+00
    0.1500	 2.162E-07	-0.000E+00	-6.910E-08	 0.000E+00	 1.146E-07	 0.000E+00	 7.034E-01	 0.000E+00	-1.411E-03	 0.000E+00	 5.576E-01	 0.000E+00	 6.966E+06	-0.000E+00	-3.538E+06	-0.000E+00	 4.705E+08	-0.000E+00	 4.665E+06	-0.000E+00	-3.538E+06	-0.000E+00	 1.538E+08	-0.000E+00	 6.966E+06	-0.000E+00	-3.538E+06	-0.000E+00	-2.262E+08	-0.000E+00
    0.1600	 2.370E-07	-0.000E+00	-1.790E-07	 0.000E+00	 1.108E-07	 0.000E+00	 6.687E-01	 0.000E+00	-2.681E-03	 0.000E+00	 5.354E-01	 0.000E+00	 6.119E+06	-0.000E+00	-6.538E+06	-0.000E+00	 4.352E+08	-0.000E+00	 4.362E+06	-0.000E+00	-6.538E+06	-0.000E+00	 1.533E+08	-0.000E+00	 6.119E+06	-0.000E+00	-6.538E+06	-0.000E+00	-1.768E+08	-0.000E+00
    0.1700	 2.505E-07	-0.000E+00	-2.227E-07	 0.000E+00	 1.124E-07	 0.000E+00	 6.318E-01	 0.000E+00	-3.186E-03	 0.000E+00	 5.105E-01	 0.000E+00	 5.318E+06	-0.000E+00	-7.731E+06	-0.000E+00	 4.001E+08	-0.000E+00	 4.066E+06	-0.000E+00	-7.731E+06	-0.000E+00	 1.513E+08	-0.000E+00	 5.318E+06	-0.000E+00	-7.731E+06	-0.000E+00	-1.318E+08	-0.000E+00
    0.1800	 2.530E-07	-0.000E+00	-1.673E-07	 0.000E+00	 1.220E-07	 0.000E+00	 5.926E-01	 0.000E+00	-2.547E-03	 0.000E+00	 4.823E-01	 0.000E+00	 4.606E+06	-0.000E+00	-6.222E+06	-0.000E+00	 3.661E+08	-0.000E+00	 3.778E+06	-0.000E+00	-6.222E+06	-0.000E+00	 1.472E+08	-0.000E+00	 4.606E+06	-0.000E+00	-6.222E+06	-0.000E+00	-9.446E+07	-0.000E+00
    0.1900	 2.447E-07	-0.000E+00	-5.900E-08	 0.000E+00	 1.330E-07	 0.000E+00	 5.509E-01	 0.000E+00	-1.296E-03	 0.000E+00	 4.506E-01	 0.000E+00	 4.013E+06	-0.000E+00	-3.268E+06	-0.000E+00	 3.341E+08	-0.000E+00	 3.489E+06	-0.000E+00	-3.268E+06	-0.000E+00	 1.405E+08	-0.000E+00	 4.013E+06	-0.000E+00	-3.268E+06	-0.000E+00	-6.728E+07	-0.000E+00
    0.2000	 2.271E-07	-0.000E+00	 1.534E-08	 0.000E+00	 1.336E-07	 0.000E+00	 5.069E-01	 0.000E+00	-4.355E-04	 0.000E+00	 4.153E-01	 0.000E+00	 3.560E+06	-0.000E+00	-1.235E+06	-0.000E+00	 3.043E+08	-0.000E+00	 3.211E+06	-0.000E+00	-1.235E+06	-0.000E+00	 1.311E+08	-0.000E+00	 3.560E+06	-0.000E+00	-1.235E+06	-0.000E+00	-5.161E+07	-0.000E+00
    0.2100	 2.019E-07	-0.000E+00	-2.276E-09	 0.000E+00	 1.164E-07	 0.000E+00	 4.608E-01	 0.000E+00	-6.337E-04	 0.000E+00	 3.767E-01	 0.000E+00	 3.243E+06	-0.000E+00	-1.703E+06	-0.000E+00	 2.770E+08	-0.000E+00	 2.933E+06	-0.000E+00	-1.703E+06	-0.000E+00	 1.190E+08	-0.000E+00	 3.243E+06	-0.000E+00	-1.703E+06	-0.000E+00	-4.730E+07	-0.000E+00
