
Predictions were generated on 28-Dec-2020 at 17:51:19 using OpenFAST, compiled as a 64-bit application using single precision at commit v2.3.0-1146-g1ce8396b-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; HydroDyn; SubDyn

Description from the FAST input file: MonopileOnly

Time	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	M1N1FKXe	M1N1FKYe	M1N1FKZe	M1N1MKXe	M1N1MKYe	M1N1MKZe	M2N1FKXe	M2N1FKYe	M2N1FKZe	M2N1MKXe	M2N1MKYe	M2N1MKZe	-ReactFXss	-ReactFYss	-ReactFZss	-ReactMXss	-ReactMYss	-ReactMZss	M1J1FKxe	M1J1FKye	M1J1FKze	M1J1MKxe	M1J1MKye	M1J1MKze	M1J1FMxe	M1J1FMye	M1J1FMze	M1J1MMxe	M1J1MMye	M1J1MMze	M1J2FKxe	M1J2FKye	M1J2FKze	M1J2MKxe	M1J2MKye	M1J2MKze	M1J2FMxe	M1J2FMye	M1J2FMze	M1J2MMxe	M1J2MMye	M1J2MMze	M2J1FKxe	M2J1FKye	M2J1FKze	M2J1MKxe	M2J1MKye	M2J1MKze	M2J1FMxe	M2J1FMye	M2J1FMze	M2J1MMxe	M2J1MMye	M2J1MMze	M2J2FKxe	M2J2FKye	M2J2FKze	M2J2MKxe	M2J2MKye	M2J2MKze	M2J2FMxe	M2J2FMye	M2J2FMze	M2J2MMxe	M2J2MMye	M2J2MMze
(s)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(m)	(N)	(N)	(N)	(N)	(N)	(N)	(N*m)	(N*m)	(N*m)	(N)	(N)	(N)	(N*m)	(N*m)	(N*m)	(N)	(N)	(N)	(Nm)	(Nm)	(Nm)	(N)	(N)	(N)	(N*m)	(N*m)	(N*m)	(N)	(N)	(N)	(N*m)	(N*m)	(N*m)	(N)	(N)	(N)	(N*m)	(N*m)	(N*m)	(N)	(N)	(N)	(N*m)	(N*m)	(N*m)	(N)	(N)	(N)	(N*m)	(N*m)	(N*m)	(N)	(N)	(N)	(N*m)	(N*m)	(N*m)	(N)	(N)	(N)	(N*m)	(N*m)	(N*m)	(N)	(N)	(N)	(N*m)	(N*m)	(N*m)
    0.0000	-5.223E-09	-0.000E+00	 5.066E-08	 0.000E+00	 4.392E-09	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	-2.992E+00	-1.718E+04	 0.000E+00	 1.386E+07	 5.061E+03	-0.000E+00	-3.677E+06	-0.000E+00	 5.223E+04	-0.000E+00	 4.143E+03	-0.000E+00	 7.355E+05	-0.000E+00	 3.638E+04	-0.000E+00	 5.531E+03	-0.000E+00	 1.018E+07	-0.000E+00	 5.379E+04	-0.000E+00	 5.061E+03	-0.000E+00	-3.677E+06	-0.000E+00	 5.223E+04	-0.000E+00	 6.115E+01	-0.000E+00	 6.129E+04	-0.000E+00	 3.247E+02	-0.000E+00	-5.968E+03	 0.000E+00	-7.355E+05	 0.000E+00	 8.746E+04	 0.000E+00	-4.790E+03	 0.000E+00	-4.903E+05	 0.000E+00	 1.287E+04	 0.000E+00	 4.143E+03	-0.000E+00	 7.355E+05	-0.000E+00	 3.638E+04	-0.000E+00	 4.834E+03	-0.000E+00	 6.129E+05	-0.000E+00	 1.305E+04	-0.000E+00	-2.373E+03	 0.000E+00	 3.677E+06	 0.000E+00	 2.791E+04	 0.000E+00	-3.715E+02	 0.000E+00	-1.042E+06	 0.000E+00	-2.987E+03	 0.000E+00
    0.0100	 5.956E-09	-2.336E-15	-6.559E-09	 2.337E-15	 2.427E-09	 2.341E-15	 9.794E-06	 2.151E-15	-6.899E-04	-1.100E-14	-1.137E-05	-4.046E-09	-2.990E+00	-1.105E+04	 2.563E-07	 1.386E+07	 8.740E+03	 4.270E-07	-5.338E+06	-9.048E-06	 7.920E+04	-1.798E+01	 6.372E+03	 2.157E-07	-9.254E+05	-7.730E-06	 7.113E+04	 7.017E+00	 1.025E+04	 4.270E-07	 8.522E+06	-9.048E-06	 8.495E+04	-2.223E+01	 8.740E+03	 4.270E-07	-5.338E+06	-9.048E-06	 7.920E+04	-1.798E+01	 1.668E+02	 9.494E-09	 3.822E+04	-4.841E-08	 8.609E+02	 1.079E-01	-8.507E+03	-2.244E-07	-2.396E+06	-9.644E-06	 1.405E+05	-1.483E+00	-3.083E+03	 8.264E-08	-3.058E+05	 1.672E-07	 8.774E+03	-8.630E-01	 6.372E+03	 2.157E-07	-9.254E+05	-7.730E-06	 7.113E+04	 7.017E+00	 2.870E+03	-1.254E-07	 3.822E+05	 3.605E-07	 7.822E+03	 1.079E+00	-1.714E+03	 1.692E-07	 2.017E+06	 1.829E-06	-8.768E+03	 7.767E+00	 2.964E+03	 5.676E-08	-6.498E+05	-3.047E-07	-2.575E+03	-1.834E+00
    0.0200	-2.999E-09	-1.329E-15	-1.347E-07	 1.329E-15	-2.127E-08	 1.332E-15	-1.376E-05	 7.689E-16	-2.237E-03	 1.175E-14	 2.177E-05	-1.675E-08	-2.988E+00	-1.268E+04	 1.773E-07	 1.386E+07	 3.351E+03	 3.137E-07	-9.062E+06	 1.014E-06	 2.124E+02	-2.133E+01	 5.024E+03	 1.989E-07	-4.649E+06	 2.749E-06	 7.468E+04	 3.668E+00	 5.895E+03	 3.137E-07	 4.798E+06	 1.014E-06	 1.017E+04	-2.558E+01	 3.351E+03	 3.137E-07	-9.062E+06	 1.014E-06	 2.124E+02	-2.133E+01	 3.615E+01	 7.646E-09	-1.350E+04	-3.891E-08	 1.934E+02	 6.136E-02	-6.477E+03	-1.808E-09	-6.120E+06	 1.193E-06	 1.281E+05	-4.832E+00	-3.543E+03	 5.567E-08	 1.080E+05	 1.329E-07	 9.385E+03	-4.909E-01	 5.024E+03	 1.989E-07	-4.649E+06	 2.749E-06	 7.468E+04	 3.668E+00	 3.750E+03	-4.763E-08	-1.350E+05	 9.233E-08	 1.032E+04	 6.136E-01	-1.509E+03	-1.447E-07	-1.707E+06	 3.208E-06	 1.779E+04	 4.418E+00	-1.718E+02	 4.617E-07	 2.295E+05	 3.707E-07	-1.701E+03	-1.043E+00
    0.0300	 2.987E-09	 7.223E-17	-2.376E-07	-7.168E-17	-3.282E-08	-7.124E-17	-2.633E-05	-7.581E-15	-3.478E-03	 5.324E-14	 4.232E-05	-3.440E-08	-2.987E+00	-9.991E+03	-6.997E-07	 1.386E+07	 2.890E+03	-7.609E-07	-1.205E+07	 3.001E-05	-4.213E+04	-2.599E+01	 6.733E+03	-3.416E-07	-7.638E+06	 2.982E-05	 1.288E+05	-9.857E-01	 6.470E+03	-7.609E-07	 1.810E+06	 3.001E-05	-2.798E+04	-3.024E+01	 2.890E+03	-7.609E-07	-1.205E+07	 3.001E-05	-4.213E+04	-2.599E+01	 8.286E+01	-2.055E-08	-5.500E+04	 1.048E-07	 4.289E+02	-3.273E-03	-8.592E+03	 8.574E-07	-9.109E+06	 3.266E-05	 1.949E+05	-9.486E+00	-2.169E+03	-2.194E-07	 4.400E+05	-4.278E-07	 5.940E+03	 2.619E-02	 6.733E+03	-3.416E-07	-7.638E+06	 2.982E-05	 1.288E+05	-9.857E-01	 2.246E+03	 3.776E-07	-5.500E+05	-1.149E-06	 6.305E+03	-3.273E-02	-2.482E+02	-1.036E-06	-4.696E+06	-6.891E-06	-4.838E+03	-2.357E-01	 1.007E+03	 4.493E-07	 9.350E+05	 1.497E-06	 5.323E+01	 5.565E-02
    0.0400	-6.570E-10	 1.452E-15	-2.381E-07	-1.451E-15	-3.495E-08	-1.453E-15	-5.626E-05	-1.606E-14	-3.483E-03	 1.321E-13	 8.526E-05	-5.178E-08	-2.985E+00	-1.066E+04	 6.057E-08	 1.386E+07	-1.695E+03	-2.286E-07	-1.206E+07	 5.557E-05	-1.348E+05	-3.057E+01	 6.660E+03	-3.909E-07	-7.650E+06	 6.068E-05	 1.715E+05	-5.568E+00	 2.922E+03	-2.286E-07	 1.798E+06	 5.557E-05	-1.164E+05	-3.482E+01	-1.695E+03	-2.286E-07	-1.206E+07	 5.557E-05	-1.348E+05	-3.057E+01	 2.095E+01	-5.214E-10	-5.518E+04	 2.946E-09	 1.112E+02	-6.692E-02	-8.843E+03	 4.608E-07	-9.121E+06	 6.087E-05	 2.340E+05	-1.407E+01	-1.807E+03	-5.726E-08	 4.414E+05	-3.919E-08	 4.718E+03	 5.354E-01	 6.660E+03	-3.909E-07	-7.650E+06	 6.068E-05	 1.715E+05	-5.568E+00	 2.036E+03	 2.313E-07	-5.518E+05	-8.420E-07	 5.767E+03	-6.692E-01	 1.137E+03	-1.920E-06	-4.708E+06	-1.612E-06	-1.590E+03	-4.818E+00	-1.001E+03	 1.934E-06	 9.380E+05	 3.089E-06	 2.247E+03	 1.138E+00
    0.0500	 1.659E-10	 2.400E-15	-1.359E-07	-2.400E-15	-1.964E-08	-2.404E-15	-8.543E-05	-3.868E-14	-2.251E-03	 2.146E-13	 1.260E-04	-6.376E-08	-2.984E+00	-1.002E+04	-4.151E-07	 1.386E+07	-4.789E+03	-1.447E-06	-9.096E+06	 1.058E-04	-2.186E+05	-3.373E+01	 7.480E+03	-1.911E-06	-4.683E+06	 1.106E-04	 2.311E+05	-8.726E+00	 8.639E+02	-1.447E-06	 4.765E+06	 1.058E-04	-1.961E+05	-3.798E+01	-4.789E+03	-1.447E-06	-9.096E+06	 1.058E-04	-2.186E+05	-3.373E+01	 1.458E+01	-4.121E-08	-1.397E+04	 2.100E-07	 7.632E+01	-1.108E-01	-1.049E+04	 9.086E-07	-6.154E+06	 1.184E-04	 2.988E+05	-1.723E+01	-8.614E+02	-5.294E-07	 1.118E+05	-1.098E-06	 2.212E+03	 8.862E-01	 7.480E+03	-1.911E-06	-4.683E+06	 1.106E-04	 2.311E+05	-8.726E+00	 1.051E+03	 8.410E-07	-1.397E+05	-2.516E-06	 3.090E+03	-1.108E+00	 2.832E+03	-3.041E-06	-1.741E+06	-1.754E-05	-1.068E+04	-7.976E+00	-1.812E+03	 1.499E-06	 2.375E+05	 4.516E-06	 4.930E+03	 1.883E+00
    0.0600	 6.195E-10	 2.644E-15	-7.987E-09	-2.643E-15	-8.063E-10	-2.646E-15	-1.155E-04	-5.969E-14	-7.073E-04	 3.201E-13	 1.648E-04	-6.680E-08	-2.982E+00	-9.479E+03	 2.267E-06	 1.386E+07	-8.108E+03	 6.509E-07	-5.380E+06	 1.306E-04	-3.074E+05	-3.453E+01	 8.221E+03	-2.548E-06	-9.675E+05	 1.476E-04	 2.909E+05	-9.526E+00	-1.419E+03	 6.509E-07	 8.481E+06	 1.306E-04	-2.806E+05	-3.878E+01	-8.108E+03	 6.509E-07	-5.380E+06	 1.306E-04	-3.074E+05	-3.453E+01	 3.814E+00	 4.455E-09	 3.764E+04	-2.304E-08	 1.907E+01	-1.219E-01	-1.213E+04	-9.979E-07	-2.438E+06	 1.507E-04	 3.631E+05	-1.803E+01	 3.630E+01	-2.414E-07	-3.011E+05	-5.685E-07	-1.858E+02	 9.751E-01	 8.221E+03	-2.548E-06	-9.675E+05	 1.476E-04	 2.909E+05	-9.526E+00	 1.283E+02	 3.710E-07	 3.764E+05	-1.164E-06	 5.819E+02	-1.219E+00	 4.705E+03	-3.568E-06	 1.975E+06	-9.652E-06	-2.277E+04	-8.776E+00	-2.719E+03	 2.918E-06	-6.399E+05	 5.589E-06	 7.565E+03	 2.072E+00
    0.0700	-1.574E-09	 2.098E-15	 4.974E-08	-2.100E-15	 6.333E-09	-2.105E-15	-1.486E-04	-9.400E-14	-1.102E-05	 4.026E-13	 2.026E-04	-6.000E-08	-2.981E+00	-9.922E+03	 3.656E-06	 1.386E+07	-1.246E+04	 1.060E-06	-3.704E+06	 1.721E-04	-4.059E+05	-3.273E+01	 8.437E+03	-4.744E-06	 7.090E+05	 1.919E-04	 3.389E+05	-7.733E+00	-4.732E+03	 1.060E-06	 1.016E+07	 1.721E-04	-3.750E+05	-3.698E+01	-1.246E+04	 1.060E-06	-3.704E+06	 1.721E-04	-4.059E+05	-3.273E+01	-4.033E+01	-1.673E-08	 6.092E+04	 8.389E-08	-2.082E+02	-9.699E-02	-1.291E+04	-1.915E-06	-7.620E+05	 2.026E-04	 4.108E+05	-1.623E+01	 6.029E+02	-6.840E-07	-4.874E+05	-1.744E-06	-1.865E+03	 7.759E-01	 8.437E+03	-4.744E-06	 7.090E+05	 1.919E-04	 3.389E+05	-7.733E+00	-3.491E+02	 7.259E-07	 6.092E+05	-1.921E-06	-6.941E+02	-9.699E-01	 6.139E+03	-3.857E-06	 3.651E+06	-2.353E-05	-2.228E+04	-6.983E+00	-4.352E+03	 1.769E-06	-1.036E+06	 5.833E-06	 9.951E+03	 1.649E+00
    0.0800	 9.115E-10	 9.430E-16	-5.923E-09	-9.422E-16	-3.397E-10	-9.430E-16	-1.717E-04	-1.208E-13	-6.824E-04	 4.756E-13	 2.212E-04	-4.537E-08	-2.979E+00	-8.682E+03	 7.835E-06	 1.386E+07	-1.480E+04	 4.636E-06	-5.321E+06	 1.790E-04	-4.806E+05	-2.888E+01	 9.481E+03	-5.596E-06	-9.075E+05	 2.062E-04	 3.881E+05	-3.877E+00	-6.034E+03	 4.636E-06	 8.541E+06	 1.790E-04	-4.455E+05	-3.313E+01	-1.480E+04	 4.636E-06	-5.321E+06	 1.790E-04	-4.806E+05	-2.888E+01	-3.422E+01	 4.854E-08	 3.847E+04	-2.496E-07	-1.795E+02	-4.343E-02	-1.448E+04	-4.794E-06	-2.379E+06	 2.121E-04	 4.669E+05	-1.238E+01	 1.608E+03	-2.878E-07	-3.078E+05	-1.117E-06	-4.507E+03	 3.475E-01	 9.481E+03	-5.596E-06	-9.075E+05	 2.062E-04	 3.881E+05	-3.877E+00	-1.373E+03	-6.901E-08	 3.847E+05	 5.213E-07	-3.411E+03	-4.343E-01	 7.521E+03	-3.283E-06	 2.034E+06	-1.274E-05	-3.806E+04	-3.127E+00	-4.292E+03	 2.340E-06	-6.540E+05	 5.218E-06	 1.177E+04	 7.384E-01
