
Predictions were generated on 04-Jan-2021 at 12:06:46 using OpenFAST, compiled as a 64-bit application using single precision at commit v2.3.0-1158-g4b886d48
 linked with  NWTC Subroutine Library; ElastoDyn; HydroDyn; SubDyn

Description from the FAST input file: FAST Certification Test #21: NREL 5.0 MW Baseline Offshore Turbine with OC4 Jacket Configuration

Time	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	M1N1FKZe	M2N1FKZe	M3N1MKXe	M3N1MKYe	M3N1FKZe	M4N1MKXe	M4N1MKYe	M4N1FKZe	M5N1MKXe	M5N1MKYe	M5N1FKZe	M6N1MKXe	M6N1MKYe	M6N1FKZe	M7N1FKZe	-M8N1FKXe	-M8N1FKYe	-M8N1FKZe	-M8N1MKXe	-M8N1MKYe	-M8N1MKZe	-M9N1FKXe	-M9N1FKYe	-M9N1FKZe	-M9N1MKXe	-M9N1MKYe	-M9N1MKZe	ReactFXss	ReactFYss	ReactMXss	ReactMYss	ReactMZss	ReactFZss
(s)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N*m)	(N*m)	(N)	(N*m)	(N*m)	(N)	(N*m)	(N*m)	(N)	(N*m)	(N*m)	(N)	(N)	(N)	(N)	(N)	(N*m)	(N*m)	(N*m)	(N)	(N)	(N)	(N*m)	(N*m)	(N*m)	(N)	(N)	(Nm)	(Nm)	(Nm)	(N)
    0.0000	 2.683E-04	 1.674E-06	 1.635E-05	-1.309E-04	 1.906E-02	-7.098E-06	 1.390E-01	 0.000E+00	 0.000E+00	 0.000E+00	 1.800E-01	 0.000E+00	 0.000E+00	 5.789E+04	 2.724E+04	 3.093E+06	 8.725E+05	-1.647E+06	-1.985E+03	 3.585E+06	-3.585E+06	 7.931E+04	-3.513E+04	 5.513E+05	 9.644E+04	-2.394E+02	 1.558E+06	-7.931E+04	-3.513E+04	-5.513E+05	-9.644E+04	-2.394E+02	-1.558E+06	-0.000E+00	-1.174E+06	 2.567E+05	-1.320E+07	-1.595E+06	-7.281E+06	-1.492E+05	-1.174E+06	-2.567E+05	 1.320E+07	 1.595E+06	-7.281E+06	-1.492E+05	-4.695E+06	 0.000E+00	 0.000E+00	-3.458E+08	 0.000E+00	 0.000E+00
    0.0100	 1.125E-04	-3.163E-07	 4.464E-06	 2.473E-05	 7.889E-03	 1.345E-06	 1.384E-01	-1.357E-06	-4.509E-04	 3.811E-05	 1.729E-01	-5.695E-08	 0.000E+00	-3.590E+05	 6.034E+03	 2.997E+06	 2.137E+05	 4.088E+06	-5.887E+02	 2.723E+06	-3.139E+06	 7.996E+04	-3.532E+04	 5.257E+05	 9.787E+04	-1.345E+03	 1.528E+06	-7.857E+04	-3.690E+04	-5.745E+05	-9.644E+04	 2.551E+02	-1.577E+06	 2.307E+03	-1.163E+06	 2.469E+05	-1.292E+07	-1.567E+06	-7.248E+06	-1.490E+05	-1.181E+06	-2.644E+05	 1.340E+07	 1.619E+06	-7.305E+06	-1.493E+05	-4.688E+06	 2.155E+03	-2.462E+04	-3.449E+08	-9.000E+00	 9.531E+05
    0.0200	-1.350E-04	-2.259E-06	-1.629E-05	 1.766E-04	-9.868E-03	 9.589E-06	 1.369E-01	-1.857E-06	-1.706E-03	 5.374E-05	 1.599E-01	-1.449E-07	 0.000E+00	-9.166E+05	-2.406E+04	 2.733E+06	-8.066E+05	 1.339E+07	 1.780E+03	 1.028E+06	-2.619E+06	 8.109E+04	-3.534E+04	 4.595E+05	 9.945E+04	-2.935E+03	 1.479E+06	-7.709E+04	-3.898E+04	-6.388E+05	-9.537E+04	 5.559E+02	-1.656E+06	 1.059E+04	-1.139E+06	 2.218E+05	-1.221E+07	-1.487E+06	-7.176E+06	-1.460E+05	-1.206E+06	-2.871E+05	 1.401E+07	 1.692E+06	-7.394E+06	-1.466E+05	-4.691E+06	 5.315E+03	-5.371E+04	-3.438E+08	-8.000E+00	 3.592E+06
    0.0300	-1.429E-04	 3.204E-07	-2.278E-05	-2.529E-05	-1.044E-02	-1.345E-06	 1.349E-01	 2.113E-06	-3.498E-03	-4.761E-05	 1.549E-01	-2.184E-07	 0.000E+00	-6.769E+05	-1.791E+04	 2.361E+06	-7.956E+05	 1.483E+07	 1.442E+03	-5.711E+03	-3.275E+06	 8.091E+04	-3.416E+04	 3.781E+05	 9.671E+04	-1.447E+03	 1.475E+06	-7.673E+04	-3.431E+04	-7.251E+05	-9.254E+04	-1.981E+03	-1.818E+06	 2.752E+04	-1.124E+06	 1.913E+05	-1.130E+07	-1.370E+06	-7.133E+06	-1.370E+05	-1.254E+06	-3.204E+05	 1.496E+07	 1.810E+06	-7.583E+06	-1.370E+05	-4.755E+06	 4.082E+03	-2.706E+04	-3.445E+08	 2.350E+01	 7.313E+06
    0.0400	 8.722E-05	 3.673E-06	-1.373E-05	-2.875E-04	 6.040E-03	-1.556E-05	 1.326E-01	 5.847E-06	-5.440E-03	-1.243E-04	 1.585E-01	-4.695E-07	 0.000E+00	 3.060E+05	 1.349E+04	 1.970E+06	 1.422E+05	 7.487E+06	-8.652E+02	-1.363E+05	-4.948E+06	 7.791E+04	-3.156E+04	 3.097E+05	 8.901E+04	 5.578E+03	 1.543E+06	-7.960E+04	-1.739E+04	-8.002E+05	-9.097E+04	-9.692E+03	-2.030E+06	 5.434E+04	-1.133E+06	 1.650E+05	-1.038E+07	-1.238E+06	-7.196E+06	-1.245E+05	-1.319E+06	-3.528E+05	 1.601E+07	 1.945E+06	-7.896E+06	-1.224E+05	-4.904E+06	-2.037E+03	 3.353E+04	-3.468E+08	 5.250E+01	 1.127E+07
    0.0500	 2.243E-04	 1.133E-06	-9.866E-06	-8.862E-05	 1.586E-02	-4.819E-06	 1.296E-01	 3.060E-06	-7.121E-03	-6.990E-07	 1.577E-01	-1.012E-06	 0.000E+00	 1.046E+06	 1.925E+04	 1.649E+06	 6.024E+05	 8.927E+05	-1.281E+03	-4.703E+05	-6.099E+06	 7.171E+04	-2.795E+04	 2.764E+05	 8.009E+04	 1.750E+04	 1.656E+06	-8.676E+04	 1.186E+04	-8.290E+05	-9.578E+04	-2.260E+04	-2.211E+06	 8.860E+04	-1.173E+06	 1.495E+05	-9.540E+06	-1.121E+06	-7.422E+06	-1.163E+05	-1.389E+06	-3.695E+05	 1.683E+07	 2.052E+06	-8.331E+06	-1.101E+05	-5.125E+06	-8.384E+03	 5.436E+04	-3.480E+08	 6.800E+01	 1.459E+07
    0.0600	 7.039E-05	-4.856E-06	-2.322E-05	 3.802E-04	 4.823E-03	 2.055E-05	 1.256E-01	-1.668E-06	-8.197E-03	 1.763E-04	 1.446E-01	-1.509E-06	 0.000E+00	 9.720E+05	-1.232E+04	 1.466E+06	-2.862E+04	 6.357E+05	 7.758E+02	-1.673E+06	-5.769E+06	 6.317E+04	-2.263E+04	 2.895E+05	 7.352E+04	 3.046E+04	 1.793E+06	-9.719E+04	 4.739E+04	-7.931E+05	-1.085E+05	-3.706E+04	-2.309E+06	 1.237E+05	-1.245E+06	 1.483E+05	-8.887E+06	-1.045E+06	-7.832E+06	-1.174E+05	-1.454E+06	-3.618E+05	 1.716E+07	 2.093E+06	-8.857E+06	-1.061E+05	-5.397E+06	-1.176E+04	 2.738E+04	-3.460E+08	 6.500E+01	 1.656E+07
    0.0700	-1.656E-04	-4.595E-06	-3.940E-05	 3.598E-04	-1.209E-02	 1.944E-05	 1.210E-01	 2.529E-06	-8.461E-03	 7.880E-05	 1.278E-01	-1.436E-06	 0.000E+00	 6.830E+05	-3.341E+04	 1.451E+06	-6.731E+05	 9.301E+04	 2.050E+03	-2.847E+06	-4.740E+06	 5.405E+04	-1.332E+04	 3.481E+05	 6.942E+04	 3.854E+04	 1.967E+06	-1.077E+05	 7.842E+04	-7.007E+05	-1.240E+05	-4.614E+04	-2.341E+06	 1.503E+05	-1.344E+06	 1.623E+05	-8.552E+06	-1.023E+06	-8.402E+06	-1.267E+05	-1.512E+06	-3.334E+05	 1.696E+07	 2.061E+06	-9.418E+06	-1.103E+05	-5.711E+06	-1.426E+04	 2.882E+04	-3.417E+08	 1.255E+02	 1.682E+07
    0.0800	-1.609E-04	 3.582E-06	-3.678E-05	-2.799E-04	-1.173E-02	-1.521E-05	 1.163E-01	 1.453E-05	-7.887E-03	-2.696E-04	 1.207E-01	-7.515E-07	 0.000E+00	 1.068E+06	-8.885E+03	 1.596E+06	-1.795E+05	-9.996E+06	-3.016E+01	-2.658E+06	-4.339E+06	 4.654E+04	 1.616E+03	 4.375E+05	 6.684E+04	 3.520E+04	 2.190E+06	-1.142E+05	 9.133E+04	-5.787E+05	-1.346E+05	-4.197E+04	-2.356E+06	 1.596E+05	-1.460E+06	 1.880E+05	-8.613E+06	-1.052E+06	-9.056E+06	-1.402E+05	-1.563E+06	-2.950E+05	 1.631E+07	 1.967E+06	-9.939E+06	-1.201E+05	-6.046E+06	-1.887E+04	 1.005E+05	-3.371E+08	 2.600E+02	 1.540E+07
