
Predictions were generated on 04-Jan-2021 at 12:04:18 using OpenFAST, compiled as a 64-bit application using single precision at commit v2.3.0-1158-g4b886d48
 linked with  NWTC Subroutine Library; ElastoDyn; SubDyn

Description from the FAST input file: MonopileOnly

Time	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	IntfFYss	IntfMXss	IntfMYss	IntfMZss	IntfTDXss	IntfTDYss	IntfTDZss	IntfRDXss	IntfRDYss	IntfRDZss	IntfTAXss	IntfTAYss	IntfTAZss	IntfRAXss	IntfRAYss	IntfRAZss	M2N1MKxe	M2N1MKye	M1N1MKxe	M1N1MKye	-ReactFXss	-ReactFYss	-ReactFZss	-ReactMXss	-ReactMYss	-ReactMZss
(s)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(N)	(Nm)	(Nm)	(Nm)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N*m)	(N*m)	(N*m)	(N*m)	(N)	(N)	(N)	(Nm)	(Nm)	(Nm)
    0.0000	-2.857E-07	-0.000E+00	 3.428E-08	 0.000E+00	-1.788E-07	 0.000E+00	 1.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 7.887E-01	 0.000E+00	-0.000E+00	-0.000E+00	 6.238E+01	-0.000E+00	 1.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 1.377E-02	 0.000E+00	 2.259E+01	 0.000E+00	-1.471E+01	 0.000E+00	 8.732E+00	 0.000E+00	-0.000E+00	 5.732E+07	-0.000E+00	 2.570E+08	 6.651E+06	-0.000E+00	-3.447E+06	-0.000E+00	-7.525E+07	-0.000E+00
    0.0100	 5.636E-07	-0.000E+00	 1.696E-09	 0.000E+00	 3.298E-07	 0.000E+00	 1.001E+00	 0.000E+00	-7.047E-04	 0.000E+00	 8.096E-01	 0.000E+00	-0.000E+00	-0.000E+00	 2.741E+02	-0.000E+00	 1.001E+00	 0.000E+00	-7.047E-04	 0.000E+00	 1.413E-02	 0.000E+00	-5.287E+01	 0.000E+00	-8.793E+00	 0.000E+00	-2.955E+00	 0.000E+00	-0.000E+00	 7.731E+07	-0.000E+00	 2.511E+08	 7.222E+06	-0.000E+00	-5.111E+06	-0.000E+00	-1.238E+08	-0.000E+00
    0.0200	 9.941E-07	-0.000E+00	-1.174E-07	 0.000E+00	 5.729E-07	 0.000E+00	 9.962E-01	 0.000E+00	-2.247E-03	 0.000E+00	 8.150E-01	 0.000E+00	-0.000E+00	-0.000E+00	 2.677E+02	-0.000E+00	 9.962E-01	 0.000E+00	-2.247E-03	 0.000E+00	 1.422E-02	 0.000E+00	-9.093E+01	 0.000E+00	 4.156E+00	 0.000E+00	-8.959E+00	 0.000E+00	-0.000E+00	 8.649E+07	-0.000E+00	 2.427E+08	 7.787E+06	-0.000E+00	-8.754E+06	-0.000E+00	-1.718E+08	-0.000E+00
    0.0300	 2.392E-09	-0.000E+00	-2.468E-07	 0.000E+00	-4.428E-08	 0.000E+00	 9.832E-01	 0.000E+00	-3.360E-03	 0.000E+00	 7.737E-01	 0.000E+00	-0.000E+00	-0.000E+00	 7.702E+03	-0.000E+00	 9.832E-01	 0.000E+00	-3.360E-03	 0.000E+00	 1.350E-02	 0.000E+00	-2.349E+00	 0.000E+00	 1.351E+01	 0.000E+00	 4.246E+00	 0.000E+00	-0.000E+00	 5.707E+07	-0.000E+00	 2.369E+08	 7.709E+06	-0.000E+00	-1.138E+07	-0.000E+00	-1.652E+08	-0.000E+00
    0.0400	-4.150E-09	-0.000E+00	-2.305E-07	 0.000E+00	-4.476E-08	 0.000E+00	 9.699E-01	 0.000E+00	-3.177E-03	 0.000E+00	 7.557E-01	 0.000E+00	-0.000E+00	-0.000E+00	 1.401E+03	-0.000E+00	 9.699E-01	 0.000E+00	-3.177E-03	 0.000E+00	 1.319E-02	 0.000E+00	-1.519E+00	 0.000E+00	 1.197E+01	 0.000E+00	 3.856E+00	 0.000E+00	-0.000E+00	 5.081E+07	-0.000E+00	 2.240E+08	 8.280E+06	-0.000E+00	-1.095E+07	-0.000E+00	-2.144E+08	-0.000E+00
    0.0500	 7.085E-07	-0.000E+00	-9.351E-08	 0.000E+00	 4.068E-07	 0.000E+00	 9.560E-01	 0.000E+00	-1.874E-03	 0.000E+00	 7.567E-01	 0.000E+00	-0.000E+00	-0.000E+00	-1.375E+04	-0.000E+00	 9.560E-01	 0.000E+00	-1.874E-03	 0.000E+00	 1.321E-02	 0.000E+00	-6.483E+01	 0.000E+00	 1.028E+00	 0.000E+00	-6.345E+00	 0.000E+00	-0.000E+00	 6.335E+07	-0.000E+00	 2.059E+08	 9.337E+06	-0.000E+00	-7.874E+06	-0.000E+00	-3.058E+08	-0.000E+00
    0.0600	 2.937E-07	-0.000E+00	 1.199E-08	 0.000E+00	 1.726E-07	 0.000E+00	 9.359E-01	 0.000E+00	-5.080E-04	 0.000E+00	 7.235E-01	 0.000E+00	-0.000E+00	-0.000E+00	-2.399E+04	-0.000E+00	 9.359E-01	 0.000E+00	-5.080E-04	 0.000E+00	 1.263E-02	 0.000E+00	-2.778E+01	 0.000E+00	-1.044E+01	 0.000E+00	-1.169E+00	 0.000E+00	-0.000E+00	 4.725E+07	-0.000E+00	 1.921E+08	 9.750E+06	-0.000E+00	-4.646E+06	-0.000E+00	-3.435E+08	-0.000E+00
    0.0700	-2.215E-07	-0.000E+00	 2.671E-08	 0.000E+00	-1.353E-07	 0.000E+00	 9.133E-01	 0.000E+00	-1.563E-04	 0.000E+00	 6.852E-01	 0.000E+00	-0.000E+00	-0.000E+00	-1.353E+04	-0.000E+00	 9.133E-01	 0.000E+00	-1.563E-04	 0.000E+00	 1.196E-02	 0.000E+00	 1.833E+01	 0.000E+00	-1.339E+01	 0.000E+00	 5.361E+00	 0.000E+00	-0.000E+00	 2.793E+07	-0.000E+00	 1.793E+08	 9.997E+06	-0.000E+00	-3.816E+06	-0.000E+00	-3.689E+08	-0.000E+00
    0.0800	 2.334E-07	-0.000E+00	-3.765E-08	 0.000E+00	 1.310E-07	 0.000E+00	 8.921E-01	 0.000E+00	-1.070E-03	 0.000E+00	 6.751E-01	 0.000E+00	-0.000E+00	-0.000E+00	 1.790E+04	-0.000E+00	 8.921E-01	 0.000E+00	-1.070E-03	 0.000E+00	 1.178E-02	 0.000E+00	-2.184E+01	 0.000E+00	-5.721E+00	 0.000E+00	-1.240E+00	 0.000E+00	-0.000E+00	 3.434E+07	-0.000E+00	 1.638E+08	 1.065E+07	-0.000E+00	-5.975E+06	-0.000E+00	-4.306E+08	-0.000E+00
